"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Fgf9",23.7857435941216,1.26959704670824,0.805264857577445,1.57662045569416,0.114882883088076,0.185448623695028
"LOC294154",958.335139088098,0.205971711881484,0.130646300381577,1.57655985113934,0.114896837007679,0.185448623695028
"Ssfa2",136.287202247334,-0.431200429308452,0.273803881673106,-1.57485141070155,0.115290746401803,0.186050651169092
"Fam212b",30.7243356910381,0.988381120596136,0.628426061829854,1.57278824133767,0.11576785927414,0.186786705649098
"Lrp8",64.3628418690925,-0.590680838708605,0.375727548648393,-1.57209882755061,0.115927633382437,0.187010572893867
"Efcab2",59.0224247719011,0.589494355641999,0.375044605530911,1.57179798602226,0.115997408774498,0.187089202366122
"Pragmin",65.3114779325191,-0.552476169431763,0.351555923175717,-1.57151716984618,0.116062569385372,0.187160361617637
"Bhlhb9",256.255877319393,0.301992076420159,0.192452517949493,1.56917706059535,0.116606687772382,0.188003565940304
"Ddi2",222.31810826548,0.344950811870586,0.219841775425855,1.5690867270444,0.116627732080787,0.188003565940304
"Ptcd3",194.198558774459,-0.333575587675792,0.212734228027643,-1.56803910103478,0.11687200737558,0.18836320087077
"Wdr36",202.920731881228,0.384831124142461,0.24546681607558,1.56775213161184,0.116938990183638,0.18843701407309
"Srebf1",76.1204421075019,0.534766756005457,0.341137289675939,1.56759982619741,0.116974552710658,0.188456727544299
"Cluh",35.0363648763204,0.759017084853252,0.48421577974124,1.56751827720043,0.116993597470446,0.188456727544299
"Adnp",518.184261383906,-0.214054326931791,0.13662904673241,-1.56668242991564,0.117188939662828,0.18873721135268
"AABR07025787.1",17.9072820042821,-1.16750045629556,0.745356460333366,-1.5663652472716,0.11726313400952,0.188822515752114
"Mut",55.9674609104352,0.624282044554767,0.398746982270174,1.56560945239149,0.117440075746497,0.189069300821689
"Klhl9",154.679668283235,0.364858526614953,0.233057649034963,1.56552907885988,0.117458904591417,0.189069300821689
"Pwp2",41.6926142553415,-0.667960772082906,0.426720658066487,-1.56533497841305,0.117504385639963,0.189090183374537
