"","AbsCon1.H9C2_S3.bam","AbsCon2.H9C2_S25.bam","AbsCon3.H9C2_S21.bam","H9C2diff10ns1_S11.bam","H9C2diff10ns2_S20.bam","H9C2diff10ns3_S24.bam","NRCMD1.0_S30.bam","NRCMD1.1_S19.bam","NRCMD1.2_S23.bam","NRCMD3.1_S10.bam","NRCMD3.2_S22.bam","NRCMD3.3_S18.bam","ratheart1_S14.bam","ratheart2_S6.bam","ratheart3_S4.bam"
"Tie1",1.240944,1.162255,1.072396,1.331973,1.299834,1.303404,7.749285,7.976617,7.659592,4.618488,4.910353,4.47855,8.753501,8.236003,8.363903
"Slc2a1",5.786459,5.306523,4.903352,3.515462,3.473877,2.752186,8.41823,8.014002,7.634247,7.291297,7.64703,7.484007,7.049692,6.814367,7.173716
"Zfp691",4.155383,3.157916,3.940932,5.103296,4.530555,4.825714,5.414927,5.743032,6.171709,5.684097,5.38478,5.406973,7.245688,6.875489,7.352811
"Ccdc23",7.273698,6.762448,5.748082,9.035141,8.922517,8.797659,7.024968,6.296278,6.349022,7.119198,6.593895,7.075159,4.857052,5.467569,6.265619
"RGD1564804",3.808209,5.025118,5.6373,6.216989,5.617957,6.616591,5.647352,5.076344,5.382446,5.819747,5.812469,5.453944,4.91411,4.8342,4.974834
"P3h1",8.234366,8.173996,8.222928,7.617726,7.557759,7.923066,8.856462,8.11169,8.18875,9.226019,9.109444,9.113316,6.921533,6.56754,6.722008
"Ybx1",10.83741,10.78178,10.74713,10.89716,10.84661,11.09998,11.3255,11.354,11.27424,11.71907,11.58229,11.59591,11.99206,11.84034,12.1385
"Ppih",4.234489,4.783214,3.638408,2.746303,3.675971,3.128014,4.019274,3.891062,3.767616,4.320623,3.680246,4.28606,2.62878,3.629758,1.825013
"Ppcs",5.910272,5.718173,6.3567,6.557868,6.607804,6.761804,7.237886,7.649285,7.272016,6.942502,7.09947,6.546,7.358798,7.790717,7.366641
"Foxj3",7.238848,7.443672,6.840974,6.893367,6.966804,6.373505,7.437061,7.533196,7.382803,7.536115,7.528274,7.414607,8.106316,8.205078,8.292597
"Rps27a-ps1",7.25171,7.263423,7.180827,8.183817,7.796054,8.169922,7.639894,7.786807,7.975221,8.134374,8.047284,8.288804,6.502889,6.385433,6.708655
"Hivep3",1.323136,1.616866,3.35359,2.347954,1.375979,3.427809,5.18141,5.694023,6.119933,6.16789,6.278063,6.435687,5.965918,4.590703,5.474975
"Ctps1",8.599535,8.555087,8.284452,8.247586,8.487135,8.245975,8.809123,8.456505,8.62859,8.733669,8.598934,8.776994,8.915912,8.912879,8.611808
"Nfyc",8.254899,7.488994,7.255764,7.806484,7.865403,7.999614,8.668513,8.332079,8.432559,8.430022,8.481346,8.485215,9.115154,9.38671,9.244095
"Smap2",8.751812,8.716829,9.007251,7.800159,7.691107,7.853767,8.480791,8.641366,8.716752,8.100394,8.110416,8.205724,10.04734,9.960297,9.913485
"Zmpste24",6.677038,6.111465,6.314594,6.137547,6.422255,6.060589,6.713586,6.935629,6.929694,7.021215,6.958892,6.716263,6.214537,6.243568,6.278763
