"","AbsCon1.H9C2_S3.bam","AbsCon2.H9C2_S25.bam","AbsCon3.H9C2_S21.bam","H9C2diff10ns1_S11.bam","H9C2diff10ns2_S20.bam","H9C2diff10ns3_S24.bam","NRCMD1.0_S30.bam","NRCMD1.1_S19.bam","NRCMD1.2_S23.bam","NRCMD3.1_S10.bam","NRCMD3.2_S22.bam","NRCMD3.3_S18.bam","ratheart1_S14.bam","ratheart2_S6.bam","ratheart3_S4.bam"
"Sln",7.22585427624224,7.22585427624224,7.32704562609758,9.55836883589268,9.2842123475422,9.34761147434326,7.37990832755134,7.22585427624224,7.22585427624224,7.44616791893776,7.47141926532755,7.22585427624224,7.22585427624224,7.22585427624224,7.52963379433974
"Dmxl2",8.47215377690305,7.9879679036216,8.28714094430934,8.14140750971267,8.02671724176778,7.90241669723852,7.81860844976187,7.96995792301303,7.97123202401384,7.84484235586242,7.7830355666523,7.89370775170012,7.69568240780188,8.07422953507796,7.88344287001221
"Cib2",8.1203822723018,7.93692314012529,7.98777702497858,7.95739668808425,8.04187115398031,7.99679814153788,7.37990832755134,7.59278505140183,7.44099650746314,7.51709034449523,7.58956194702122,7.72311685624581,7.57672761597919,7.22585427624224,7.22585427624224
"Idh3a",9.206704713224,9.22266966922699,9.23122329103261,9.2996069241148,9.51722656459499,9.48001724293328,9.55675487333902,9.81559087253516,9.71514125439585,9.48888609516815,9.7304241111978,9.42461755541148,11.0166121261504,11.1218288039655,11.112721836385
"Dnaja4",7.47202275579302,7.50561616549548,7.65369135687739,7.22585427624224,7.63404126909734,7.61884084462301,7.79877361166254,7.69443744744541,7.59780592909116,7.89943194426482,7.6210572706852,7.91784630675277,8.04708739752711,8.49882346831978,8.50170551264723
"Wdr61",9.0541888610757,8.78000718903969,8.82429440211702,9.24494285719216,9.26122254610869,9.44208486565796,9.41672736189687,9.43036619524906,9.34260340701555,9.42688470969395,9.34247151265077,9.42461755541148,9.47367719570767,9.35317593732507,9.37044347692127
"Ireb2",8.1203822723018,8.0289238870474,8.19897350915466,8.24989696716931,8.13360484752113,8.2983976321438,8.60607840384478,8.41238413382038,8.44490912655833,8.24477262176113,8.46495050710824,8.46989126306807,7.85018059405683,7.95508465106035,8.00697926998442
"Psma4",10.7222938209966,10.7568497673268,10.7071778362851,11.3734196053461,11.3131918957311,11.1452063110259,11.1580271428159,11.3907520888525,11.4663100638159,10.9037647574841,10.9494310946066,10.8716413228896,10.9940103127067,10.9567462652007,10.9922463935634
"Ube2q2",8.39124350584053,7.84757930996119,8.15895851572029,8.58463306907023,8.72703531470223,8.934306926649,8.53313008343691,8.84077057865397,8.5569905423254,8.58301143591069,8.54400055499356,8.63400285547374,8.84781506847071,8.95894267091276,8.95851320777247
"Fbxo22",8.43252809320079,8.5252777839009,8.36339214820922,8.42902084412945,8.34999854223982,8.35714750251137,8.72544155801958,8.73643921072391,8.50647560582905,8.46391057301043,8.71053886652153,8.51340940446491,9.00510333155285,8.57300269010029,8.86464077539192
"Etfa",8.42350322590952,8.38769983482791,8.20868687099264,8.59309935538281,8.75202465766114,8.70765559051926,8.58358126824587,8.77338615318696,8.84237819921764,8.71095973557266,8.33564684353828,8.4494730006027,10.2661893526898,10.029383942794,10.5362735221231
"Scaper",8.07444136961923,8.17906394001424,8.24647972303655,8.53235714345115,8.37056001090518,8.63135229914671,8.55671697329415,8.6659770932889,8.7219225804882,8.5984231905416,8.49898233808152,8.61658732372406,9.61001406341149,9.40583513956127,9.41925252957079
"Rcn2",9.31169379675347,9.51028772631792,9.41046051423386,9.15958257988165,9.11900656188078,9.30331580092877,9.45407155342208,9.39891960111061,9.29273529705448,9.78264766280851,9.61432355355055,9.70131868029648,8.42003948653114,8.54068564960244,8.46094057053514
"Tspan3",9.4029190176383,9.76306186164842,9.46668594725441,9.95453752060013,9.89386517002472,9.91919985323189,9.51522529358762,9.33156513825262,9.40002038631572,9.88079825368348,9.90337018015873,9.96380406881285,9.83274023936119,9.70328816136392,9.8203543035982
"Peak1",8.75443335922173,8.6500034218368,8.89822695534616,8.28515515135319,8.18520754793014,8.10114700736131,8.62811290880342,8.44436639301048,8.43212833422942,8.61361573614577,8.56775822626774,8.52496352333609,8.31229529701875,8.6789792128855,8.51756518258685
"Hmg20a",8.45033426776934,8.44256843597898,8.78139723109782,8.93836952246693,8.75202465766114,8.93127280634293,8.94030894858884,9.0697413405819,9.04663258435835,8.99675307722958,9.0630018394564,9.11046498038754,9.54717030734179,9.1714463632104,9.07005581844635
"Odf3l1",8.38654606242423,8.42601086199551,8.64815665483371,7.99973644847307,7.85333186642487,7.90241669723852,7.5696790379017,7.38265893903917,7.22585427624224,7.75174491216015,7.5362482503593,7.65048904572675,7.22585427624224,7.38290953790347,7.44085686197262
"Cspg4",7.22585427624224,7.22585427624224,7.22585427624224,7.3890744125001,7.22585427624224,7.22585427624224,8.53313008343691,8.45331735590275,8.34234027251001,8.34850282818197,8.52378074239929,8.44533875843393,8.50011397007281,8.68616853558807,8.50170551264723
"Snx33",8.93240509657868,8.67330286410839,9.01131218628949,8.64253909677491,8.73781293806957,8.84627199814871,8.90665299124521,8.77997662131207,8.67194334214292,9.03399735206979,9.19563182507099,9.01488812584264,8.90851782533647,8.60436034681086,8.65044224663664
"Imp3",8.87404597065334,8.85254072098614,8.53120714523434,8.93836952246693,8.95250479324551,8.82651705682632,9.71562191306372,9.34407382977845,9.43694270238718,9.33525163722483,9.1370824212341,9.4192087248138,9.15406001299602,9.26331713042495,9.41186099814523
"Snupn",7.84461899021054,7.84757930996119,7.89869129755054,8.14819454043636,8.2098577581899,8.01264333308282,8.12933698814144,8.2111288744865,8.16035410896175,8.13960462723576,8.065637237583,8.04027047623331,8.52545704095534,8.23551209688128,8.03468310125243
"Ptpn9",8.60557604210262,8.66669624384941,8.6844811686162,8.36776163445357,8.04933283597926,8.14844337191079,8.82418056095478,8.39362783320233,8.51835367834781,8.72467839712553,8.77393739588208,8.95112137206648,7.92254249884896,7.83000301139353,7.90022516418763
"Sin3a",9.05932919921312,8.84407252928305,9.198758809439,8.67819525433629,8.75202465766114,8.76163146820491,8.99702662979049,9.29760489810625,9.21302401901706,8.80048244666483,8.77717787976045,8.67136215815586,8.9435004230632,9.26774136168851,9.06520018727133
"Man2c1",8.67184772778186,8.55877998839393,8.61376146367599,8.65455401585573,8.82386026930295,8.61943263692399,8.57597522958449,8.5221995924346,8.52619695850628,8.55149807317962,8.41162803096868,8.55887321659583,9.02137480705707,9.1327440361595,8.96908727102436
"Neil1",8.0035568910307,7.96655924110987,7.89130453854133,8.08492775663299,8.03433334471834,8.13521281858936,7.88308275068626,8.10648307807597,7.96375012002573,8.09477234255206,7.99422315146287,8.07261913200077,8.1901559940344,7.90450585139401,8.03468310125243
"Commd4",9.0618913470446,9.10056437314895,8.82165956135575,9.61265122831865,9.81364672846167,9.66698349316621,9.84820289864174,9.6647211048811,9.52495866818987,9.60817290074969,9.71817691820857,9.48441155103917,9.11472258872376,9.04100365041754,9.03066367677843
"RGD1305464",8.44591259363928,8.34779944710275,8.57163919529885,7.948604566291,8.23970506488984,8.25316409926069,8.68822216554087,8.42621828731924,8.4278310615204,8.54346972306335,8.49058087967337,8.54393827961564,8.34291827223627,8.29020039933226,8.36488365283712
"Rpp25",7.22585427624224,7.22585427624224,7.22585427624224,7.22585427624224,7.22585427624224,7.22585427624224,8.50491630068871,8.72958985648055,8.53785154269697,9.02611152544475,8.89986969070377,8.98978284819085,7.74476542756705,7.7888260303755,7.37795433805144
"Cox5a",9.76856118819932,9.86924186801259,9.65274980762693,10.4864288863984,10.2836266804906,10.3275506125493,11.356952464599,10.8898624299434,10.9819561565605,11.1066023978102,11.0075649160977,11.1875793695622,13.8065612122721,13.9204948344789,14.025424393047
"Fam219b",8.35300152779954,8.5551101707109,8.36745131853485,8.4339561347648,8.47644917820237,8.48770638926764,8.63174196076672,8.54280880915399,8.61600203704496,8.53537907460109,8.74434989638848,8.68793197749774,8.73672692982719,8.84623042215461,9.00026537220984
"Mpi",7.47202275579302,7.33173631902836,7.62938592107141,8.07757197248167,7.91034900637526,8.12851529132766,7.71095889894266,7.7985082299955,7.6931352566498,7.76292814669565,7.67735575388882,7.70018664867947,7.83064539657629,7.88671921863152,7.94807345162714
"Scamp2",8.52267796231806,8.61582948411284,8.7109611147515,8.68596414539482,8.92239238541235,8.77906590967247,9.10794316812083,8.82823482182493,8.98058805771213,9.00214388668679,9.06554384757015,8.90574453115393,8.76385250938848,8.80181723167439,8.72428030960838
"Csk",9.05932919921312,9.01277972987521,9.05113831380814,8.72026634341162,8.66391355434304,8.82983294876389,9.02828362634144,8.98991970027194,9.041677045629,9.01285437038061,9.17951028520761,9.11505543202883,8.68762174075049,8.70040861304174,8.5637361978885
"Cyp1a1",7.22585427624224,7.22585427624224,7.22585427624224,7.22585427624224,7.22585427624224,7.22585427624224,9.04868628907571,8.77007658644698,8.86847677095703,7.4721127596726,7.33578030530038,7.22585427624224,7.22585427624224,7.22585427624224,7.22585427624224
"Clk3",8.65384010606453,8.66669624384941,8.49981500048245,8.6820865311836,8.71615321080126,8.79964213695954,8.81190821230707,8.88661720291288,8.90239698549017,8.89240827101122,8.72078960128998,8.95634844850956,9.35925862782642,9.21361194249124,9.17234621743763
"Cyp11a1",7.22585427624224,7.22585427624224,7.22585427624224,7.22585427624224,7.22585427624224,7.22585427624224,7.22585427624224,7.22585427624224,7.51026371685983,7.22585427624224,7.22585427624224,7.22585427624224,8.41073000652471,8.2577932562732,8.27836549046477
"Islr",7.53700996269466,7.33173631902836,7.81197785445723,9.29026573428186,9.10333345785963,9.0498123275082,7.66015029673779,7.74339302869285,7.82110874176668,9.01018556684538,8.87038415422942,9.11734433398353,7.86908742969538,8.24672328781909,7.84842740886031
"Stoml1",8.59027936176136,8.40063874043892,8.33866389417431,8.42406069537829,8.14681351314981,8.2176537049275,8.07182616721066,7.99329918850063,8.01450605246949,8.18207893005398,8.25830934460909,8.18459140431169,8.03266631402905,8.03181879611645,8.21570895421102
"Loxl1",9.82828611466321,10.0395845435678,10.0425656610921,9.43640021377109,9.47263500393081,9.5014900788862,9.83717236749889,9.35646306410274,9.50781775458374,10.6047991434745,10.6643059483226,10.7011292676725,8.50011397007281,8.90095819733368,8.7562930383633
"RGD1562618",7.83501738317856,7.52486566421981,7.56078416487055,7.97464556205624,7.89192269617293,7.86436062168119,7.93340064847652,7.81905501336015,7.87529293711596,8.04014185513201,7.6210572706852,7.67604622834478,7.64060741286269,7.66855410599775,7.77125919963677
"Cd276",8.87404597065334,8.80956928625791,8.69632804495993,8.84793761104507,8.87574514896072,8.8527832407262,8.8690816221761,8.8925972193367,9.03670141614899,9.06759570494239,9.18874774874423,9.06598812483691,8.48286286860448,8.4371627360334,8.54090656437007
"Nptn",9.9920017363174,10.214334600172,10.0730830178813,10.4786068006509,10.4056650042549,10.4038811017011,10.0801809377571,10.1108112528366,9.96925629826736,10.3373540286163,10.3456238746786,10.3063420377112,10.3463784873425,10.3054307550904,10.1958869674265
"Hcn4",7.22585427624224,7.52486566421981,7.22585427624224,7.22585427624224,7.22585427624224,7.22585427624224,7.88308275068626,8.05906084081158,8.05531856952271,8.23370774166508,8.2636764297078,8.22753087593742,9.36747919036844,8.82740415744546,9.08928984864552
"Neo1",8.93240509657868,8.5733325184398,8.64507450032023,8.45345488119026,8.33427741737903,8.5363716099705,8.28106610185786,8.29385556821088,8.26376080194138,8.3533948190393,8.35036395900846,8.22227972562752,8.08875653538479,8.27952759245898,8.11210615512768
