"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pcca",15.9619429779354,-0.224024986289148,0.876934676094826,-0.25546371057737,0.79836496867901,0.90014828960748
"B3galt2",86.1246257146602,-0.117207789298706,0.458882534850043,-0.255420026689418,0.798398704584349,0.90014828960748
"Aebp1",255.544499155026,-0.0570702243597023,0.223817903825632,-0.254985072169041,0.798734628920351,0.900424750330881
"Acbd5",33.4484900283573,-0.128199695895248,0.503079307561819,-0.254829991948127,0.79885440958297,0.900434970856912
"Acd",107.352901072472,0.0591708343879021,0.232280744282377,0.254738439773423,0.798925124756883,0.900434970856912
"Ppp2r2d",429.180531380953,-0.0398440040564841,0.156575619688648,-0.2544713163883,0.799131461083477,0.900565268246434
"Raly",187.846379121416,0.0552142365878376,0.217268210577435,0.254129384326839,0.799395602961444,0.900731498221243
"Fam53a",114.855684945315,0.0648084083855197,0.255150513347109,0.254000697609233,0.799495019156564,0.900731498221243
"Ift57",217.608251622825,-0.046804102090629,0.184320384853883,-0.253927975073035,0.799551201977369,0.900731498221243
"Dnase1l1",162.969492724336,0.0497492638125082,0.196334758609336,0.253389996579762,0.79996685705647,0.900969916489588
"RGD1306227",26.4175797480254,0.128547578794349,0.507363962639829,0.253363636876203,0.799987224652446,0.900969916489588
"Oxr1",509.651780298697,-0.0362193150763159,0.143042487531924,-0.253206691950408,0.800108495555567,0.900969916489588
"Irf2bp1",140.159164854998,-0.0480356622078047,0.189726181454431,-0.253184151178112,0.800125913142829,0.900969916489588
"Kxd1",141.035594320487,-0.0475666787945282,0.187982466754342,-0.253037847708898,0.800238966407708,0.900995006869658
"Pars2",14.4352222910354,-0.183452541145563,0.725607113041428,-0.252826271750024,0.800402465168297,0.901076882075594
"Cic",193.740701294826,-0.0554996743104227,0.219706197705061,-0.252608596799471,0.800570686151669,0.901164054291389
"Isca1",720.768402578417,-0.0310750705792696,0.123333533416701,-0.251959622970323,0.801072273309147,0.901532391064297
"Prss46",7.31137253573345,0.356478550865955,1.41487703643467,0.251950198982833,0.801079557645285,0.901532391064297
"Usp36",460.449485631181,-0.052626794420441,0.208984204645535,-0.25182187577144,0.80117874767765,0.901541803587842
"Nbeal1",179.587453735489,0.0545497574000079,0.216985601204675,0.251398051747005,0.801506373832248,0.901808236982418
"Siah1",83.1081094541802,-0.0743358291373995,0.296008934381748,-0.2511269779497,0.801715938698885,0.901897364261219
"Bcam",124.850674068494,0.0721821262872851,0.287567993504984,0.251008901955683,0.801807226715473,0.901897364261219
"Abhd2",33.9571508978976,0.105314999737645,0.419676968357153,0.250943005402242,0.801858174451467,0.901897364261219
"Kdm4c",35.6286663821964,0.149985016121775,0.59830216883683,0.250684393161008,0.8020581279217,0.90196384931958
"Eps15l1",132.756024758547,0.0669002409696142,0.266926703129855,0.250631503649406,0.802099022561347,0.90196384931958
"Rac1",441.248094156597,0.0409005975581052,0.163500558643867,0.250155705260885,0.802466938458211,0.902275354682397
"Wrnip1",71.2975352376685,-0.0859124846324835,0.344006471412553,-0.249740896674738,0.802787729111419,0.902533808943249
"Ivns1abp",644.40897207297,0.0418716741520014,0.167833265678918,0.249483759865021,0.802986601581286,0.902641116170309
"Bloc1s6",99.1290372379171,0.0760807523478617,0.305180827086505,0.249297287362997,0.803130829470891,0.902641116170309
"Als2",55.9449307107235,-0.084517307467597,0.33906640981079,-0.249264760595898,0.803155988113658,0.902641116170309
"Psip1",607.633001080006,-0.0381998731666456,0.153383520763872,-0.249048091844579,0.803323581190371,0.902661240810896
"Fem1c",107.77840176677,0.0726975284633187,0.292126295108997,0.24885650378099,0.803471781912814,0.902661240810896
"Gtf2h1",399.555417385886,0.0445490742393282,0.179168686799134,0.248643192263123,0.803636794874186,0.902661240810896
"Zmym5",192.999615905909,-0.0481178550341627,0.193526005916354,-0.248637669166594,0.803641067532903,0.902661240810896
"Xpnpep1",408.980462314977,-0.0324865332032698,0.130739381134572,-0.248483149616802,0.803760605989493,0.902661240810896
"Supv3l1",204.134665721723,0.0468374509944282,0.188496053675618,0.248479743109267,0.803763241362462,0.902661240810896
"Cox17",1179.51831476258,0.0393594414533004,0.158439931508358,0.248418697727246,0.803810468217561,0.902661240810896
"Rab10",1322.2097134308,-0.0262619178745489,0.105874798218246,-0.248046922558603,0.804098102023556,0.902882099625093
"Maf",56.558194190809,0.108270488635915,0.436820265455821,0.247860498237039,0.804242344175646,0.902894763632029
"Oxsr1",321.773625012265,-0.0484720395653437,0.195611716246095,-0.247797220409651,0.804291305665364,0.902894763632029
"Chchd3",1106.13999463493,-0.0260935482637074,0.10537020175672,-0.247636882426708,0.804415371302615,0.902900830989527
"Cyld",132.777997605382,0.0520791709303705,0.210374038511728,0.247555122765147,0.804478636839752,0.902900830989527
"Coa3",245.987273254095,-0.0502002113742164,0.203007200931448,-0.247282909886374,0.804689284095833,0.902932479487447
"Tmem206",34.526839470151,-0.125091373795755,0.50607328408812,-0.247180354562984,0.804768648447843,0.902932479487447
"Klhl41",972.913732655451,-0.0535725395951911,0.216747179178865,-0.247166029095039,0.804779734638872,0.902932479487447
"Aff4",492.12042801352,0.0293422535131866,0.118878100755697,0.246826398862875,0.805042579125402,0.902976685473774
"LOC304239",16.6541337972044,0.261600111655584,1.05992185580255,0.246810753286625,0.805054687982204,0.902976685473774
"Atp6v1c1",267.212185897699,-0.0471713656551493,0.191161011555764,-0.246762481905934,0.805092047797995,0.902976685473774
"Ifngr2",117.722328340165,0.0693166354992154,0.281409603324146,0.24631936749995,0.805435018633334,0.903259292165233
"Tmem126a",249.657910772067,-0.063870270601455,0.259449022008916,-0.246176571053947,0.805545551153415,0.903281195294712
"Slc39a9",276.429685044494,0.0363803897171074,0.148210154521931,0.245464892972122,0.806096488111123,0.903659464322931
"Ssh2",113.087509595578,-0.0851748988939785,0.347072931534182,-0.245409224273054,0.806139587421896,0.903659464322931
"Fis1",417.962246193632,0.0291774007048259,0.118903121769779,0.245388012278763,0.806156010132939,0.903659464322931
"Katna1",95.0883556529591,0.0762335309591409,0.310978353290889,0.245140956444104,0.806347291538949,0.903771817504021
"Chmp2a",470.047437180054,-0.0367735726180093,0.150150959479594,-0.24491067353457,0.806525597046702,0.903869603283908
"Arl16",18.5175664750084,0.18768906136369,0.767698498486811,0.244482777722816,0.806856938734345,0.904063534068292
"Gli4",63.3866202699988,0.0911408510739475,0.372837471093836,0.244451961350765,0.80688080277161,0.904063534068292
"Dnajc3",580.655465491018,0.0279484369227976,0.114388498468873,0.244329082878929,0.806975961004579,0.9040681025882
"Tmem97",377.709967792814,0.0349000012339948,0.142929422152247,0.244176466317897,0.807094152668374,0.904098471886501
"Shroom1",21.7804265042167,-0.154034010391956,0.632174264909802,-0.243657514932111,0.807496079916495,0.904446636115
"Agpat4",279.946555561146,-0.036554169080164,0.150236718207543,-0.243310487051951,0.807764880972241,0.904569719021218
"Tmem243",25.5402985309032,-0.121202001258993,0.49819891031267,-0.243280341948012,0.807788231856143,0.904569719021218
"Mpi",24.7612006735763,-0.124389654979853,0.512145212981222,-0.24287965957111,0.808098623148074,0.904783595133627
"Fan1",38.0983365066334,0.100135300687114,0.412622524025035,0.242680161301709,0.808253177088589,0.904783595133627
"Sco1",74.4221451507452,-0.0937093951926104,0.386322905587832,-0.24256753569924,0.808340432933235,0.904783595133627
"Mettl22",78.0127417431799,-0.107367885203069,0.442638910768856,-0.242563142532077,0.808343836555007,0.904783595133627
"Erlin1",112.240736451526,-0.0520248814809129,0.214643252711038,-0.242378368869349,0.808486993886211,0.904819956583945
"LOC679960",43.6379074046013,0.0814519966808535,0.336398365055893,0.242129585461333,0.808679754258052,0.904819956583945
"Rab11fip3",30.4389920167624,0.127728289632958,0.527606842812082,0.242089903444356,0.808710501435364,0.904819956583945
"Usp28",268.86042051918,-0.0588244961569182,0.243137285677186,-0.241939429376618,0.808827097306063,0.904819956583945
"Rnf215",77.7297897331188,-0.0669086496757024,0.276558629398964,-0.241932966695391,0.808832105054337,0.904819956583945
"Gramd1a",106.732186868017,0.0592374856996623,0.245144611402556,0.241643025970444,0.809056779946106,0.904887062598758
"Pkmyt1",102.368310298669,-0.0788593166072869,0.32637708138347,-0.241620264122139,0.809074418755186,0.904887062598758
"Palb2",27.2939689151463,-0.132956974584618,0.550655177325162,-0.241452328171078,0.809204560137805,0.904930651636757
"Zfp40",17.323908189041,0.133207751509699,0.552293851507002,0.241189995409555,0.809407864560135,0.905056039610668
"Zfp799",27.6149174765745,0.108685891259425,0.451644548768783,0.240644753835091,0.80983046071118,0.905332504322703
"Atp5o",3860.46080479709,0.026489580506032,0.110081702686745,0.24063563570971,0.809837528297529,0.905332504322703
"RGD1306941",31.4555937333038,-0.0982662288679708,0.409537994382145,-0.239944108277967,0.810373586015212,0.905765545447902
"Arl1",42.9377932526491,0.106829918707493,0.44530928485287,0.2399004968935,0.810407395640018,0.905765545447902
"Ublcp1",251.513555748282,-0.0402973439792926,0.168236347522767,-0.239528167204411,0.810696057764346,0.905986159577674
"Zfp346",34.969299563819,0.101466072416122,0.423875199688803,0.239377232946433,0.810813082369488,0.905994818190695
"Rftn1",162.478602069523,-0.0616098214222777,0.25747709111129,-0.239282730577564,0.810886355511397,0.905994818190695
"Mtdh",1970.35930198934,-0.051030516363964,0.213430027352051,-0.239097173893857,0.811030233140054,0.906053584034685
"Dsg2",129.652426042925,0.0604871307155901,0.253989112952158,0.238148517519267,0.811765905474383,0.906707878591017
"Mesdc1",167.648967079038,0.054193765312612,0.227651956296412,0.238055346390476,0.81183816760992,0.906707878591017
"Mrps9",420.401042704137,0.0333228320829008,0.140018615391138,0.237988584516527,0.811889948107693,0.906707878591017
"Tatdn2",212.123143895504,0.0470401584069943,0.197903637003471,0.237692238097521,0.812119804266726,0.906862546647713
"Nudt5",104.519870269492,0.0557977767775013,0.235422324775597,0.237011408457917,0.812647939723576,0.90735021931341
"Cep250",96.4587185836288,0.0719815163620336,0.304721861764327,0.236220387816166,0.813261659936067,0.907933329943246
"Cep57l1",86.9031891013469,-0.0690438169099019,0.292579446415667,-0.235983141521881,0.813445751900862,0.907945731895675
"Abi1",590.27314306135,-0.0287047418356135,0.12164556749872,-0.235970306406072,0.813455711640967,0.907945731895675
"Reep3",345.90130240791,-0.03999894045045,0.169859420498582,-0.235482614582356,0.813834171060607,0.908256111453414
"AABR07031740.1",48.816484428136,-0.112839802333784,0.479597786803782,-0.235280073091643,0.813991360424061,0.908256111453414
"Pafah1b2",429.129367151511,-0.0339866133660949,0.144465129274952,-0.235258249078297,0.814008298155307,0.908256111453414
"Fbxw8",190.208093117075,0.0468663701761172,0.200149017271499,0.234157383408701,0.814862798445177,0.909107354992338
"Spsb3",194.980828086305,0.044979512232432,0.192779905895812,0.233320542529683,0.815512508122008,0.909722109341906
"Wdr7",113.675142097846,0.0624757152119834,0.267892865906582,0.233211567618861,0.815597123819627,0.909722109341906
"LOC686442",3833.00372500737,-0.0316227284215304,0.135849676995222,-0.232777354506648,0.815934298415902,0.909908361074198
"Cox18",50.2540164007233,-0.0928258549740234,0.399088697883817,-0.232594547192732,0.816076261909737,0.909908361074198
"Olfm1",34.6588235001483,-0.085642986594658,0.368258669609517,-0.232562037671698,0.81610150860629,0.909908361074198
"Ubr1",190.000015880289,0.0477650804269573,0.205419697734993,0.232524343836674,0.816130781648557,0.909908361074198
"Trim27",187.970767523728,-0.0460083487214254,0.198016419271187,-0.232346130137907,0.816269185927716,0.90996046041313
"Lrrc47",379.67988742665,-0.0306812194875388,0.132139654273004,-0.232187829280607,0.816392130307223,0.909974092098463
"Tspyl2",53.3392643712832,0.086976249561066,0.374745293341181,0.232094308071482,0.816464765688989,0.909974092098463
"RGD1310852",17.6923353956262,0.228317582879218,0.984842056773441,0.231831674235396,0.81666875468145,0.910099254403062
"Glrx2",143.645888579033,0.0522978466699764,0.225819391741127,0.231591477891895,0.816855327237636,0.910204981832148
"Ankmy2",388.101537002602,0.0421184459745709,0.182151744238394,0.231227244903281,0.817138265080597,0.910418051317769
"Ficd",72.1597337729522,0.0739146358413465,0.320096203895374,0.230913815727431,0.81738175736814,0.910529696204053
"RGD1311847",74.4934068188406,0.0760627217386471,0.32947253566536,0.230862100797084,0.817421934603497,0.910529696204053
"Cdc42bpa",285.15917087077,0.0413225190006588,0.179107165472578,0.230713935378456,0.817537046703348,0.91055573671201
"Rad54b",21.457219253068,0.109678624207137,0.476416824251584,0.230215682201052,0.817924176473308,0.910884705001016
"Steap3",131.396051463974,0.0589580533691166,0.256750278276595,0.229631896661867,0.818377819156799,0.911287663557369
"Ctu2",77.1687966951591,0.0610123592961402,0.26601666510049,0.229355402501164,0.818592695922039,0.911424688695699
"Foxj2",38.5538698261696,-0.113498461301275,0.496020221922442,-0.228818214026406,0.819010209582422,0.911787274597927
"Dpm3",241.705135083009,-0.0459443106947732,0.20191699803821,-0.227540579253654,0.820003418942877,0.912790617520129
"Slc33a1",124.213586592041,-0.049175893398442,0.216240579258113,-0.227412882295991,0.820102704067143,0.912798771088861
"Cyb5a",306.280749106939,0.0467973466201875,0.206224279667753,0.226924524578689,0.820482431606021,0.913119028604256
"Abcg2",15.7608100362702,-0.126085530053202,0.55670883485162,-0.226483795765173,0.820825160933361,0.913295878430729
"Vamp2",292.872328572162,0.0334686489036794,0.147775194127096,0.22648353873854,0.820825360818107,0.913295878430729
"Arf1",19.7690368268641,0.121715747841511,0.538003767857933,0.226235865087197,0.821017977333459,0.913395547418716
"Usp42",258.412580869932,-0.0394778548056597,0.174653368139336,-0.226035462277285,0.821173839078912,0.913395547418716
"Stard3",131.112050074751,-0.0532219745616383,0.235481502679949,-0.226013397892972,0.821190999915839,0.913395547418716
"Mapkbp1",112.909148722557,-0.0649882499877323,0.288250970983818,-0.225457176313834,0.821623636104417,0.913774365487108
"Eif4ebp2",447.051012171256,-0.0466857910989982,0.207374104736438,-0.225128355145082,0.821879422900809,0.913777244147847
"Qprt",16.1860604797467,-0.132001390198367,0.586375335638292,-0.225114158416433,0.821890466824875,0.913777244147847
"Iqgap1",980.735672367963,-0.0315671127940449,0.140292644823477,-0.225009036174093,0.821972244654171,0.913777244147847
"AABR07002683.1",469.894930824779,0.0318348302632628,0.14150041092745,0.224980479241047,0.821994460305876,0.913777244147847
"Usf2",280.130340394657,-0.0439048356829135,0.195537429943042,-0.224534175864449,0.82234167720309,0.913986781309609
"Acad11",45.964416207739,-0.107922016848987,0.480951112451445,-0.224392904091436,0.822451591639199,0.913986781309609
"Cox19",216.16073266974,-0.0363032323192748,0.161791268451899,-0.224383136782612,0.822459191079733,0.913986781309609
"Esco2",93.7660227430802,0.0633671568744832,0.282693008642195,0.22415537327521,0.822636406868985,0.914081380788262
"Med23",53.0348372828677,0.0886025878629389,0.395933736276153,0.223781354668755,0.822927438882688,0.914185466388272
"Wasf1",22.7375258472701,-0.137983871167237,0.616687547816551,-0.223750052446791,0.822951796927723,0.914185466388272
"Casp9",27.8665309950673,-0.127630863492129,0.570596008930913,-0.223679909243077,0.823006379976385,0.914185466388272
"Mynn",91.7894160442752,-0.0601953110788128,0.269574989361114,-0.223297091549458,0.82330429073286,0.914414052793372
"Phf23",443.623519113201,-0.0325166905403178,0.145785724203425,-0.223044407934929,0.823500944415142,0.914489073087221
"Znhit2",78.9524543506212,-0.0730864323542733,0.32783098203727,-0.222939369244742,0.823582695143227,0.914489073087221
"Atg5",110.165421367156,-0.0465316280263819,0.208797615347929,-0.222855169820039,0.823648228228869,0.914489073087221
"Gtdc1",48.2867100445766,-0.0724183605364481,0.325541182941933,-0.222455296998062,0.823959469223994,0.914732322057641
"Ercc6l",47.6895797717351,-0.0938915273365612,0.422958627003465,-0.221987497930364,0.824323615748008,0.914990222162247
"Nucb1",263.6079431375,-0.0390633288459652,0.176095512384769,-0.221830348297643,0.824445953452149,0.914990222162247
"Pex16",38.2671660632328,-0.0943565763884844,0.425409775952624,-0.221801617457405,0.824468320271926,0.914990222162247
"Pxmp4",42.4813547650034,-0.103879276953841,0.468617628503878,-0.221671722605675,0.824569444562659,0.915000146084847
"Sec24a",8.20571525198677,0.272044278202691,1.2287362856733,0.221401680225974,0.824779684260475,0.915131136370387
"Ube3d",21.5187098963842,-0.126714275951928,0.572997058073165,-0.22114297825199,0.824981106750485,0.915182411795619
"Adprhl2",289.282780798829,0.0354646751714408,0.160397083377796,0.221105486612297,0.825010298282006,0.915182411795619
"Psmb4",881.362895354605,-0.023631768917405,0.107192381161031,-0.220461274033123,0.825511929259068,0.915636541493519
"Asap1",372.518268612566,0.0293576136150423,0.133342706646665,0.220166624432148,0.825741388722242,0.915699835604662
"Wwtr1",165.470638284647,-0.0505232952735895,0.229493748324333,-0.220151074451873,0.825753498740412,0.915699835604662
"Foxj3",182.021896208545,0.0433425262187539,0.197105656706309,0.219894887559391,0.825953018008897,0.915818773096102
"Nkiras1",31.5343324848106,-0.102725795504093,0.467732944764028,-0.219624887778469,0.826163306969538,0.915868299131355
"Vps9d1",55.9018765531422,-0.0772053963940613,0.351571881536779,-0.219600600755054,0.826182223496086,0.915868299131355
"Kcnj5",34.7671504015189,0.101788173163659,0.463782113659762,0.219474124089082,0.826280734489715,0.915875217257947
"Zdhhc20",55.9089578921411,-0.0791401334879998,0.360816611295477,-0.219336169706419,0.826388188442269,0.915892045386105
"Enpp1",494.114105962359,-0.0389180741425321,0.177746662650287,-0.218952488683867,0.826687058252104,0.916082399323262
"Kcnq1",55.5766230902227,0.0804794269268027,0.367881209072943,0.218764712472295,0.826833336408835,0.916082399323262
"Rrm1",765.901658875935,0.0329913413678957,0.150867637375547,0.218677391266969,0.8269013619019,0.916082399323262
"Stat1",385.614070503063,0.0391800768917582,0.179197576392295,0.218641778982468,0.826929105171915,0.916082399323262
"Smim3",136.207844280754,0.0497120382857985,0.227607954190879,0.21841081284931,0.827109041465606,0.916161947226419
"LOC685963",107.051813436148,0.0609593095818295,0.279363917464281,0.218207527067713,0.827267420637318,0.916161947226419
"Zc3h8",155.346596831452,0.0594543639380344,0.272507191507524,0.218175394231358,0.827292455849903,0.916161947226419
"Narfl",131.139228476016,-0.048382695771995,0.221861901579766,-0.218075728313362,0.827370108295146,0.916161947226419
"Eif5b",3406.88768699078,-0.0633953757006306,0.291210758401426,-0.217695857284372,0.82766609168281,0.916312070720895
"Ube3b",9.5038176185188,-0.222214544315674,1.02090264296146,-0.217664775233678,0.827690310909081,0.916312070720895
